timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
11/26/2025 13:31,NIFTY-02Dec2025-26600-CE,SELL,450,19.4,Traded,1.23E+13,34,0.9,,405,1:29,11/26/2025 8:01,CE,"t34=timestamp('GMT',2025,11,26,8,1,44)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t34, high * 1.02, text=str.tostring(0.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 13:38,NIFTY-02Dec2025-26200-PE,BUY,75,131.1,Traded,1.36E+13,35,,,,,11/26/2025 8:08,PE,"t35=timestamp('GMT',2025,11,26,8,8,6)",,"line.new(t35,low,t35,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t35?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 14:03,NIFTY-02Dec2025-26200-PE,SELL,75,120.55,Traded,1.12E+14,36,-10.5,-8.710078805,-788,25:32:00,11/26/2025 8:33,PE,"t36=timestamp('GMT',2025,11,26,8,33,38)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t36, high * 1.02, text=str.tostring(-10.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 14:05,NIFTY-02Dec2025-26600-CE,BUY,450,19.9,Traded,1.25E+13,37,,,,,11/26/2025 8:35,CE,"t37=timestamp('GMT',2025,11,26,8,35,56)",,"line.new(t37,low,t37,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t37?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 14:24,NIFTY-02Dec2025-26600-CE,SELL,450,20.6,Traded,1.28E+13,38,0.7,3.398058252,315,18:57,11/26/2025 8:54,CE,"t38=timestamp('GMT',2025,11,26,8,54,53)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t38, high * 1.02, text=str.tostring(0.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 14:33,NIFTY-02Dec2025-26600-CE,BUY,450,18.65,Traded,1.36E+13,39,,,,,11/26/2025 9:03,CE,"t39=timestamp('GMT',2025,11,26,9,3,32)",,"line.new(t39,low,t39,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t39?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 14:35,NIFTY-02Dec2025-26600-CE,SELL,450,17.65,Traded,1.12E+14,40,-1,-5.66572238,-450,2:23,11/26/2025 9:05,CE,"t40=timestamp('GMT',2025,11,26,9,5,55)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t40, high * 1.02, text=str.tostring(-1.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 15:12,NIFTY-02Dec2025-26600-CE,BUY,75,19.5,Traded,1.23E+13,41,,,,,11/26/2025 9:42,CE,"t41=timestamp('GMT',2025,11,26,9,42,29)",,"line.new(t41,low,t41,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t41?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 15:13,NIFTY-02Dec2025-26600-CE,SELL,75,19.6,Traded,1.35E+13,42,0.1,0.510204082,8,1:09,11/26/2025 9:43,CE,"t42=timestamp('GMT',2025,11,26,9,43,38)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t42, high * 1.02, text=str.tostring(0.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 15:13,NIFTY-02Dec2025-26600-CE,BUY,75,19.65,Traded,1.25E+13,43,,,,,11/26/2025 9:43,CE,"t43=timestamp('GMT',2025,11,26,9,43,59)",,"line.new(t43,low,t43,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t43?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
