2025-10-17 10:29:22:647 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025700PE from M.Stock... | 
2025-10-17 10:29:22:648 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025700PE from M.Stock... | 
2025-10-17 10:29:22:649 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025700PE | 
2025-10-17 10:29:22:923 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45279', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025700PE', 'expiry': '20Oct2025', 'strike': '25700', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:22:923 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45279 from M.Stock... | 
2025-10-17 10:29:23:328 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45279', 'ltp': 94.3, 'open': 168, 'high': 185.9, 'low': 89.25, 'close': 139.05}], 'unfetched': []}} | 
2025-10-17 10:29:23:334 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025700PE at LTP 94.3 | 
2025-10-17 10:29:23:334 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:23:335 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025600PE from M.Stock... | 
2025-10-17 10:29:23:335 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025600PE | 
2025-10-17 10:29:23:653 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45275', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025600PE', 'expiry': '20Oct2025', 'strike': '25600', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:23:654 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025600PE from M.Stock... | 
2025-10-17 10:29:23:655 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025600PE from M.Stock... | 
2025-10-17 10:29:23:656 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025600PE | 
2025-10-17 10:29:23:951 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45275', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025600PE', 'expiry': '20Oct2025', 'strike': '25600', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:23:952 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45275 from M.Stock... | 
2025-10-17 10:29:24:341 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | Evaluating open positions for stop-loss/book-profit... | 
2025-10-17 10:29:24:345 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | {'45283': {'tradingsymbol': 'NIFTY-20Oct2025-25800-PE', 'average_price': 257.15, 'net_quantity': 75, 'latest_price': 257.15, 'instrument_token': '45283', 'exchange': 'NSE', 'lotsize': 75, 'lots': 75, 'pts_pl': 0.0, 'pct_pl': 0.0, 'total_pl': 0.0}} | 
2025-10-17 10:29:24:346 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | Evaluating position for token 45283 | 
2025-10-17 10:29:24:346 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | {'tradingsymbol': 'NIFTY-20Oct2025-25800-PE', 'average_price': 257.15, 'net_quantity': 75, 'latest_price': 257.15, 'instrument_token': '45283', 'exchange': 'NSE', 'lotsize': 75, 'lots': 75, 'pts_pl': 0.0, 'pct_pl': 0.0, 'total_pl': 0.0} | 
2025-10-17 10:29:24:347 | DEBUG    | trade_logic.py            | to_sell_or_not_to_sell    | Deciding to sell or not: Buy Price = 257.15, Current Price = 257.15 | 
2025-10-17 10:29:24:348 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 257.15 | 
2025-10-17 10:29:24:349 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | DECISION TO SELL NIFTY-20Oct2025-25800-PE - False | 
2025-10-17 10:29:24:433 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45275', 'ltp': 55.95, 'open': 113.6, 'high': 118.25, 'low': 53.25, 'close': 86.65}], 'unfetched': []}} | 
2025-10-17 10:29:24:438 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025600PE at LTP 55.95 | 
2025-10-17 10:29:24:438 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:24:439 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025500PE from M.Stock... | 
2025-10-17 10:29:24:440 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025500PE | 
2025-10-17 10:29:24:699 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45269', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025500PE', 'expiry': '20Oct2025', 'strike': '25500', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:24:700 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025500PE from M.Stock... | 
2025-10-17 10:29:24:700 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025500PE from M.Stock... | 
2025-10-17 10:29:24:701 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025500PE | 
2025-10-17 10:29:25:028 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45269', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025500PE', 'expiry': '20Oct2025', 'strike': '25500', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:25:029 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45269 from M.Stock... | 
2025-10-17 10:29:25:467 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45269', 'ltp': 33.3, 'open': 63, 'high': 71, 'low': 31.65, 'close': 52.95}], 'unfetched': []}} | 
2025-10-17 10:29:25:473 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025500PE at LTP 33.3 | 
2025-10-17 10:29:25:474 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:25:475 | INFO     | server.py                 | run_flask_app             | Starting Flask app... | 
2025-10-17 10:29:25:475 | INFO     | mstock_adapter.py         | start_socket_connection   | Starting socket connection in M.StockAdapter... | 
2025-10-17 10:29:25:476 | INFO     | mstock_connector.py       | start_socket_connection   | Starting M.Stock WebSocket connection... | 
2025-10-17 10:29:25:476 | INFO     | mstock_connector.py       | start_socket_connection   | Attempting to connect to M.Stock WebSocket... | 
2025-10-17 10:29:25:926 | INFO     | mstock_connector.py       | start_socket_connection   | Connection successful. Logging in... | 
2025-10-17 10:29:26:935 | INFO     | trade_logic.py            | get_relevant_instruments_to_track | Compiling list of relevant instruments to track... | 
2025-10-17 10:29:26:936 | INFO     | trade_logic.py            | get_relevant_instruments_to_track | Subscribing to 12 instruments. | 
2025-10-17 10:29:26:937 | INFO     | mstock_connector.py       | _subscribe_to_instruments | Subscribing to instruments: ['45283', '45268', '45272', '45278', '45282', '45286', '45287', '45283', '45279', '45275', '45269', '52168'] | 
