timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Order_Line,Long_Short_Line,PL_Line,PL_Callout
11/21/2025 13:40,NIFTY-25Nov2025-25900-PE,BUY,150,29.95,Traded,1.31225E+13,31,,,,11/21/2025 8:10,PE,"t31=timestamp('GMT',2025,11,21,8,10,34)","line.new(t31,low,t31,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 13:43,NIFTY-25Nov2025-25900-PE,SELL,150,32.35,Traded,1.19225E+13,32,2.4,360,2:44,11/21/2025 8:13,PE,"t32=timestamp('GMT',2025,11,21,8,13,18)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t32, high * 1.02, text=str.tostring(2.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 13:46,NIFTY-25Nov2025-25500-PE,BUY,75,5.25,Traded,1.39225E+13,33,,,,11/21/2025 8:16,PE,"t33=timestamp('GMT',2025,11,21,8,16,5)","line.new(t33,low,t33,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 13:47,NIFTY-25Nov2025-25500-PE,SELL,75,5.2,Traded,1.29225E+13,34,0,0,1:10,11/21/2025 8:17,PE,"t34=timestamp('GMT',2025,11,21,8,17,15)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t34,low,t34,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t34, high * 1.02, text=str.tostring(-0.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)"
11/21/2025 14:03,NIFTY-25Nov2025-25900-PE,BUY,75,25.95,Traded,1.22225E+13,35,,,,11/21/2025 8:33,PE,"t35=timestamp('GMT',2025,11,21,8,33,51)","line.new(t35,low,t35,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 14:09,NIFTY-25Nov2025-25900-PE,SELL,75,24.45,Traded,1.19225E+14,36,-1.5,-112,5:31,11/21/2025 8:39,PE,"t36=timestamp('GMT',2025,11,21,8,39,22)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t36,low,t36,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t36, high * 1.02, text=str.tostring(-1.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)"
11/21/2025 14:09,NIFTY-25Nov2025-26300-CE,BUY,75,45.3,Traded,1.23225E+13,37,,,,11/21/2025 8:39,CE,"t37=timestamp('GMT',2025,11,21,8,39,53)","line.new(t37,low,t37,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 14:17,NIFTY-25Nov2025-26300-CE,SELL,75,47.55,Traded,1.14225E+14,38,2.2,165,7:19,11/21/2025 8:47,CE,"t38=timestamp('GMT',2025,11,21,8,47,12)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t38,low,t38,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t38, high * 1.02, text=str.tostring(2.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 14:22,NIFTY-25Nov2025-26300-CE,BUY,75,48.25,Traded,1.35225E+13,39,,,,11/21/2025 8:52,CE,"t39=timestamp('GMT',2025,11,21,8,52,16)","line.new(t39,low,t39,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 14:31,NIFTY-25Nov2025-26300-CE,SELL,75,46,Traded,1.30225E+13,40,-2.2,-165,9:15,11/21/2025 9:01,CE,"t40=timestamp('GMT',2025,11,21,9,1,31)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t40,low,t40,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t40, high * 1.02, text=str.tostring(-2.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)"
11/21/2025 14:37,NIFTY-25Nov2025-26300-CE,BUY,75,48.75,Traded,1.37225E+13,41,,,,11/21/2025 9:07,CE,"t41=timestamp('GMT',2025,11,21,9,7,23)","line.new(t41,low,t41,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 14:39,NIFTY-25Nov2025-26300-CE,SELL,75,43.65,Traded,1.35225E+13,42,-5.1,-382,2:03,11/21/2025 9:09,CE,"t42=timestamp('GMT',2025,11,21,9,9,26)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t42,low,t42,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t42, high * 1.02, text=str.tostring(-5.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)"
11/21/2025 14:40,NIFTY-25Nov2025-25900-PE,BUY,75,26.8,Traded,1.23225E+13,43,,,,11/21/2025 9:10,PE,"t43=timestamp('GMT',2025,11,21,9,10,30)","line.new(t43,low,t43,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 14:47,NIFTY-25Nov2025-25900-PE,SELL,75,31.75,Traded,1.40225E+13,44,4.9,368,6:46,11/21/2025 9:17,PE,"t44=timestamp('GMT',2025,11,21,9,17,16)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t44, high * 1.02, text=str.tostring(4.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
